<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:advancedrocketry:airlock_door>, item.smallAirlockDoor.name
<block:advancedrocketry:alienleaves>, Lightwood Leaves
<block:advancedrocketry:aliensapling>, Lightwood Sapling
<block:advancedrocketry:alienwood>, Wood
<block:advancedrocketry:altitudecontroller>, Altitude Controller
<block:advancedrocketry:arcfurnace>, Electric Arc Furnace
<block:advancedrocketry:astrobed>, tile.astroBed.name
<block:advancedrocketry:basalt>, Basalt
<block:advancedrocketry:beacon>, Beacon
<block:advancedrocketry:biomescanner>, Biome Scanner
<block:advancedrocketry:blackholegenerator>, Black Hole Generator
<block:advancedrocketry:blastbrick>, HeatProof Brick
<block:advancedrocketry:blocklens>, Lens
<block:advancedrocketry:blockpump>, Fluid Pump
<block:advancedrocketry:centrifuge>, Centrifuge
<block:advancedrocketry:charcoallog>, Charcoal Log
<block:advancedrocketry:chemicalreactor>, Chemical Reactor
<block:advancedrocketry:circlelight>, Station Light
<block:advancedrocketry:concrete>, Concrete
<block:advancedrocketry:crystal>, tile.crystal.name
<block:advancedrocketry:crystallizer>, Crystallizer
<block:advancedrocketry:cuttingmachine>, Cutting Machine
<block:advancedrocketry:deployablerocketbuilder>, Unmanned Vehicle Assembler
<block:advancedrocketry:drill>, Drill
<block:advancedrocketry:electricmushroom>, Electric Mushroom
<block:advancedrocketry:electrolyser>, Electrolyser
<block:advancedrocketry:enrichedlavafluid>, Enriched Lava Block
<block:advancedrocketry:forcefield>, Force Field
<block:advancedrocketry:forcefieldprojector>, Force Field Projector
<block:advancedrocketry:fuelingstation>, Fueling station
<block:advancedrocketry:fueltank>, Liquid Fuel Tank
<block:advancedrocketry:geode>, Geode Block
<block:advancedrocketry:gravitycontroller>, Station Gravity Controller
<block:advancedrocketry:gravitymachine>, Area Gravity Controller
<block:advancedrocketry:guidancecomputer>, Guidance Computer
<block:advancedrocketry:hotturf>, Oxidized Ferric Sand
<block:advancedrocketry:hydrogenfluid>, Hydrogen
<block:advancedrocketry:intake>, Gas Intake
<block:advancedrocketry:landingfloat>, Landing Float
<block:advancedrocketry:landingpad>, Docking Pad
<block:advancedrocketry:lathe>, Lathe
<block:advancedrocketry:launchpad>, Launch Pad
<block:advancedrocketry:lightsource>, tile.lightSource.name
<block:advancedrocketry:liquidtank>, Pressurized Tank
<block:advancedrocketry:loader>, tile.loader.name
<block:advancedrocketry:metal0>, tile.metal.name
<block:advancedrocketry:microwavereciever>, Microwave Receiver
<block:advancedrocketry:monitoringstation>, Rocket Monitoring Station
<block:advancedrocketry:moonturf>, Moon Turf
<block:advancedrocketry:moonturf_dark>, Dark Moon Turf
<block:advancedrocketry:nitrogenfluid>, Nitrogen
<block:advancedrocketry:observatory>, Observatory
<block:advancedrocketry:orientationcontroller>, Orientation Controller
<block:advancedrocketry:oxygencharger>, Gas Charge Pad
<block:advancedrocketry:oxygendetection>, Atmosphere Detector
<block:advancedrocketry:oxygenfluid>, Oxygen
<block:advancedrocketry:oxygenscrubber>, CO2 Scrubber
<block:advancedrocketry:oxygenvent>, Oxygen Vent
<block:advancedrocketry:pipesealer>, Pipe Seal
<block:advancedrocketry:planetanalyser>, Astrobody Data Processor
<block:advancedrocketry:planetholoselector>, Holographic Planet Selector
<block:advancedrocketry:planetselector>, Planet Selector
<block:advancedrocketry:planks>, Lightwood planks
<block:advancedrocketry:platepress>, Small Plate Presser
<block:advancedrocketry:precisionassemblingmachine>, Precision Assembler
<block:advancedrocketry:quartzcrucible>, Quartz Crucible
<block:advancedrocketry:railgun>, Railgun
<block:advancedrocketry:rocketbuilder>, Rocket Assembling Machine
<block:advancedrocketry:rocketfuel>, Rocket Fuel
<block:advancedrocketry:rocketmotor>, Liquid Fueled Engine
<block:advancedrocketry:rollingmachine>, Rolling Machine
<block:advancedrocketry:satellitebuilder>, Satellite Builder
<block:advancedrocketry:satellitecontrolcenter>, Satellite Terminal
<block:advancedrocketry:sawblade>, Saw Blade Assembly
<block:advancedrocketry:seat>, Seat
<block:advancedrocketry:solargenerator>, Solar Generator
<block:advancedrocketry:solarpanel>, Solar Panel
<block:advancedrocketry:spaceelevatorcontroller>, Space Elevator
<block:advancedrocketry:spacelaser>, Orbital Laser Drill
<block:advancedrocketry:stationbuilder>, Space Station Assembler
<block:advancedrocketry:stationmarker>, Station Docking Port
<block:advancedrocketry:structuretower>, Structure Tower
<block:advancedrocketry:suitworkstation>, Suit Workstation
<block:advancedrocketry:terraformer>, Atmosphere Terraformer
<block:advancedrocketry:thermitetorch>, Thermite Torch
<block:advancedrocketry:unlittorch>, Extinguished Torch
<block:advancedrocketry:vitrifiedsand>, Vitrified Sand
<block:advancedrocketry:warpcore>, Warp Core
<block:advancedrocketry:warpmonitor>, Warp Controller
<block:advancedrocketry:wirelesstransciever>, Wireless Transceiver
<block:att:metal_multiblock_att>, tile.att.metal_multiblock_att.name
<block:betterwithengineering:ie_corner>, tile.bwmneering:ie_corner.name
<block:betterwithengineering:ie_moulding>, tile.bwmneering:ie_moulding.name
<block:betterwithengineering:ie_siding>, tile.bwmneering:ie_siding.name
<block:betterwithmods:aesthetic>, tile.bwm:aesthetic.name
<block:betterwithmods:anchor>, Anchor
<block:betterwithmods:bamboo_chime>, tile.bwm:bamboo_chime.name
<block:betterwithmods:bellows>, tile.bwm:bellows.name
<block:betterwithmods:block_dispenser>, Block Dispenser
<block:betterwithmods:blood_leaves>, Bloodwood Leaves
<block:betterwithmods:blood_log>, Bloodwood
<block:betterwithmods:blood_sapling>, Bloodwood Sapling
<block:betterwithmods:booster>, Mechanical Booster Rail
<block:betterwithmods:bucket>, Well Bucket
<block:betterwithmods:buddy_block>, Buddy Block
<block:betterwithmods:candle>, tile.bwm:candle.name
<block:betterwithmods:candle_holder>, Candle Holder
