"<tfc:alabaster/bricks/black>","Black Alabaster Bricks"
"<tfc:alabaster/bricks/blue>","Blue Alabaster Bricks"
"<tfc:alabaster/bricks/brown>","Brown Alabaster Bricks"
"<tfc:alabaster/bricks/cyan>","Cyan Alabaster Bricks"
"<tfc:alabaster/bricks/gray>","Gray Alabaster Bricks"
"<tfc:alabaster/bricks/green>","Green Alabaster Bricks"
"<tfc:alabaster/bricks/light_blue>","Light Blue Alabaster Bricks"
"<tfc:alabaster/bricks/lime>","Lime Alabaster Bricks"
"<tfc:alabaster/bricks/magenta>","Magenta Alabaster Bricks"
"<tfc:alabaster/bricks/orange>","Orange Alabaster Bricks"
"<tfc:alabaster/bricks/pink>","Pink Alabaster Bricks"
"<tfc:alabaster/bricks/plain>","Alabaster Bricks"
"<tfc:alabaster/bricks/purple>","Purple Alabaster Bricks"
"<tfc:alabaster/bricks/red>","Red Alabaster Bricks"
"<tfc:alabaster/bricks/silver>","Light Gray Alabaster Bricks"
"<tfc:alabaster/bricks/white>","White Alabaster Bricks"
"<tfc:alabaster/bricks/yellow>","Yellow Alabaster Bricks"
"<tfc:alabaster/polished/black>","Black Smooth Alabaster"
"<tfc:alabaster/polished/blue>","Blue Smooth Alabaster"
"<tfc:alabaster/polished/brown>","Brown Smooth Alabaster"
"<tfc:alabaster/polished/cyan>","Cyan Smooth Alabaster"
"<tfc:alabaster/polished/gray>","Gray Smooth Alabaster"
"<tfc:alabaster/polished/green>","Green Smooth Alabaster"
"<tfc:alabaster/polished/light_blue>","Light Blue Smooth Alabaster"
"<tfc:alabaster/polished/lime>","Lime Smooth Alabaster"
"<tfc:alabaster/polished/magenta>","Magenta Smooth Alabaster"
"<tfc:alabaster/polished/orange>","Orange Smooth Alabaster"
"<tfc:alabaster/polished/pink>","Pink Smooth Alabaster"
"<tfc:alabaster/polished/plain>","Smooth Alabaster"
"<tfc:alabaster/polished/purple>","Purple Smooth Alabaster"
"<tfc:alabaster/polished/red>","Red Smooth Alabaster"
"<tfc:alabaster/polished/silver>","Light Gray Smooth Alabaster"
"<tfc:alabaster/polished/white>","White Smooth Alabaster"
"<tfc:alabaster/polished/yellow>","Yellow Smooth Alabaster"
"<tfc:alabaster/raw/black>","Black Alabaster"
"<tfc:alabaster/raw/blue>","Blue Alabaster"
"<tfc:alabaster/raw/brown>","Brown Alabaster"
"<tfc:alabaster/raw/cyan>","Cyan Alabaster"
"<tfc:alabaster/raw/gray>","Gray Alabaster"
"<tfc:alabaster/raw/green>","Green Alabaster"
"<tfc:alabaster/raw/light_blue>","Light Blue Alabaster"
"<tfc:alabaster/raw/lime>","Lime Alabaster"
"<tfc:alabaster/raw/magenta>","Magenta Alabaster"
"<tfc:alabaster/raw/orange>","Orange Alabaster"
"<tfc:alabaster/raw/pink>","Pink Alabaster"
"<tfc:alabaster/raw/plain>","Alabaster"
"<tfc:alabaster/raw/purple>","Purple Alabaster"
"<tfc:alabaster/raw/red>","Red Alabaster"
"<tfc:alabaster/raw/silver>","Light Gray Alabaster"
"<tfc:alabaster/raw/white>","White Alabaster"
"<tfc:alabaster/raw/yellow>","Yellow Alabaster"
"<tfc:alabaster_brick>","Alabaster Brick"

<tfc:brick/andesite>","Andesite Brick"
"<tfc:brick/basalt>","Basalt Brick"
"<tfc:brick/chalk>","Chalk Brick"
"<tfc:brick/chert>","Chert Brick"
"<tfc:brick/claystone>","Claystone Brick"
"<tfc:brick/conglomerate>","Conglomerate Brick"
"<tfc:brick/dacite>","Dacite Brick"
"<tfc:brick/diorite>","Diorite Brick"
"<tfc:brick/dolomite>","Dolomite Brick"
"<tfc:brick/gabbro>","Gabbro Brick"
"<tfc:brick/gneiss>","Gneiss Brick"
"<tfc:brick/granite>","Granite Brick"
"<tfc:brick/limestone>","Limestone Brick"
"<tfc:brick/marble>","Marble Brick"
"<tfc:brick/phyllite>","Phyllite Brick"
"<tfc:brick/quartzite>","Quartzite Brick"
"<tfc:brick/rhyolite>","Rhyolite Brick"
"<tfc:brick/rocksalt>","Rocksalt Brick"
"<tfc:brick/schist>","Schist Brick"
"<tfc:brick/shale>","Shale Brick"
"<tfc:brick/slate>","Slate Brick"
"<tfc:bricks/andesite>","Andesite Bricks"
"<tfc:bricks/basalt>","Basalt Bricks"
"<tfc:bricks/chalk>","Chalk Bricks"
"<tfc:bricks/chert>","Chert Bricks"
"<tfc:bricks/claystone>","Claystone Bricks"
"<tfc:bricks/conglomerate>","Conglomerate Bricks"
"<tfc:bricks/dacite>","Dacite Bricks"
"<tfc:bricks/diorite>","Diorite Bricks"
"<tfc:bricks/dolomite>","Dolomite Bricks"
"<tfc:bricks/gabbro>","Gabbro Bricks"
"<tfc:bricks/gneiss>","Gneiss Bricks"
"<tfc:bricks/granite>","Granite Bricks"
"<tfc:bricks/limestone>","Limestone Bricks"
"<tfc:bricks/marble>","Marble Bricks"
"<tfc:bricks/phyllite>","Phyllite Bricks"
"<tfc:bricks/quartzite>","Quartzite Bricks"
"<tfc:bricks/rhyolite>","Rhyolite Bricks"
"<tfc:bricks/rocksalt>","Rocksalt Bricks"
"<tfc:bricks/schist>","Schist Bricks"
"<tfc:bricks/shale>","Shale Bricks"
"<tfc:bricks/slate>","Slate Bricks"

"<tfc:raw/andesite>","Raw Andesite"
"<tfc:raw/basalt>","Raw Basalt"
"<tfc:raw/chalk>","Raw Chalk"
"<tfc:raw/chert>","Raw Chert"
"<tfc:raw/claystone>","Raw Claystone"
"<tfc:raw/conglomerate>","Raw Conglomerate"
"<tfc:raw/dacite>","Raw Dacite"
"<tfc:raw/diorite>","Raw Diorite"
"<tfc:raw/dolomite>","Raw Dolomite"
"<tfc:raw/gabbro>","Raw Gabbro"
"<tfc:raw/gneiss>","Raw Gneiss"
"<tfc:raw/granite>","Raw Granite"
"<tfc:raw/limestone>","Raw Limestone"
"<tfc:raw/marble>","Raw Marble"
