"<tfc:stairs/bricks/andesite>","Andesite Brick Stairs"
"<tfc:stairs/bricks/basalt>","Basalt Brick Stairs"
"<tfc:stairs/bricks/chalk>","Chalk Brick Stairs"
"<tfc:stairs/bricks/chert>","Chert Brick Stairs"
"<tfc:stairs/bricks/claystone>","Claystone Brick Stairs"
"<tfc:stairs/bricks/conglomerate>","Conglomerate Brick Stairs"
"<tfc:stairs/bricks/dacite>","Dacite Brick Stairs"
"<tfc:stairs/bricks/diorite>","Diorite Brick Stairs"
"<tfc:stairs/bricks/dolomite>","Dolomite Brick Stairs"
"<tfc:stairs/bricks/gabbro>","Gabbro Brick Stairs"
"<tfc:stairs/bricks/gneiss>","Gneiss Brick Stairs"
"<tfc:stairs/bricks/granite>","Granite Brick Stairs"
"<tfc:stairs/bricks/limestone>","Limestone Brick Stairs"
"<tfc:stairs/bricks/marble>","Marble Brick Stairs"
"<tfc:stairs/bricks/phyllite>","Phyllite Brick Stairs"
"<tfc:stairs/bricks/quartzite>","Quartzite Brick Stairs"
"<tfc:stairs/bricks/rhyolite>","Rhyolite Brick Stairs"
"<tfc:stairs/bricks/rocksalt>","Rocksalt Brick Stairs"
"<tfc:stairs/bricks/schist>","Schist Brick Stairs"
"<tfc:stairs/bricks/shale>","Shale Brick Stairs"
"<tfc:stairs/bricks/slate>","Slate Brick Stairs"
"<tfc:stairs/cobble/andesite>","Andesite Cobble Stairs"
"<tfc:stairs/cobble/basalt>","Basalt Cobble Stairs"
"<tfc:stairs/cobble/chalk>","Chalk Cobble Stairs"
"<tfc:stairs/cobble/chert>","Chert Cobble Stairs"
"<tfc:stairs/cobble/claystone>","Claystone Cobble Stairs"
"<tfc:stairs/cobble/conglomerate>","Conglomerate Cobble Stairs"
"<tfc:stairs/cobble/dacite>","Dacite Cobble Stairs"
"<tfc:stairs/cobble/diorite>","Diorite Cobble Stairs"
"<tfc:stairs/cobble/dolomite>","Dolomite Cobble Stairs"
"<tfc:stairs/cobble/gabbro>","Gabbro Cobble Stairs"
"<tfc:stairs/cobble/gneiss>","Gneiss Cobble Stairs"
"<tfc:stairs/cobble/granite>","Granite Cobble Stairs"
"<tfc:stairs/cobble/limestone>","Limestone Cobble Stairs"
"<tfc:stairs/cobble/marble>","Marble Cobble Stairs"
"<tfc:stairs/cobble/phyllite>","Phyllite Cobble Stairs"
"<tfc:stairs/cobble/quartzite>","Quartzite Cobble Stairs"
"<tfc:stairs/cobble/rhyolite>","Rhyolite Cobble Stairs"
"<tfc:stairs/cobble/rocksalt>","Rocksalt Cobble Stairs"
"<tfc:stairs/cobble/schist>","Schist Cobble Stairs"
"<tfc:stairs/cobble/shale>","Shale Cobble Stairs"
"<tfc:stairs/cobble/slate>","Slate Cobble Stairs"
"<tfc:stairs/smooth/andesite>","Smooth Andesite Stairs"
"<tfc:stairs/smooth/basalt>","Smooth Basalt Stairs"
"<tfc:stairs/smooth/chalk>","Smooth Chalk Stairs"
"<tfc:stairs/smooth/chert>","Smooth Chert Stairs"
"<tfc:stairs/smooth/claystone>","Smooth Claystone Stairs"
"<tfc:stairs/smooth/conglomerate>","Smooth Conglomerate Stairs"
"<tfc:stairs/smooth/dacite>","Smooth Dacite Stairs"
"<tfc:stairs/smooth/diorite>","Smooth Diorite Stairs"
"<tfc:stairs/smooth/dolomite>","Smooth Dolomite Stairs"
"<tfc:stairs/smooth/gabbro>","Smooth Gabbro Stairs"
"<tfc:stairs/smooth/gneiss>","Smooth Gneiss Stairs"
"<tfc:stairs/smooth/granite>","Smooth Granite Stairs"
"<tfc:stairs/smooth/limestone>","Smooth Limestone Stairs"
"<tfc:stairs/smooth/marble>","Smooth Marble Stairs"
"<tfc:stairs/smooth/phyllite>","Smooth Phyllite Stairs"
"<tfc:stairs/smooth/quartzite>","Smooth Quartzite Stairs"
"<tfc:stairs/smooth/rhyolite>","Smooth Rhyolite Stairs"
"<tfc:stairs/smooth/rocksalt>","Smooth Rocksalt Stairs"
"<tfc:stairs/smooth/schist>","Smooth Schist Stairs"
"<tfc:stairs/smooth/shale>","Smooth Shale Stairs"
"<tfc:stairs/smooth/slate>","Smooth Slate Stairs"
"<tfc:stairs/wood/acacia>","Acacia Stairs"
"<tfc:stairs/wood/ash>","Ash Stairs"
"<tfc:stairs/wood/aspen>","Aspen Stairs"
"<tfc:stairs/wood/birch>","Birch Stairs"
"<tfc:stairs/wood/blackwood>","Blackwood Stairs"
"<tfc:stairs/wood/chestnut>","Chestnut Stairs"
"<tfc:stairs/wood/douglas_fir>","Douglas Fir Stairs"
"<tfc:stairs/wood/hevea>","Hevea Stairs"
"<tfc:stairs/wood/hickory>","Hickory Stairs"
"<tfc:stairs/wood/kapok>","Kapok Stairs"
"<tfc:stairs/wood/maple>","Maple Stairs"
"<tfc:stairs/wood/oak>","Oak Stairs"
"<tfc:stairs/wood/palm>","Palm Stairs"
"<tfc:stairs/wood/pine>","Pine Stairs"
"<tfc:stairs/wood/rosewood>","Rosewood Stairs"
"<tfc:stairs/wood/sequoia>","Sequoia Stairs"
"<tfc:stairs/wood/spruce>","Spruce Stairs"
"<tfc:stairs/wood/sycamore>","Sycamore Stairs"
"<tfc:stairs/wood/white_cedar>","White Cedar Stairs"
"<tfc:stairs/wood/willow>","Willow Stairs"

"<tfc:slab/bricks/andesite>","Andesite Brick Slab"
"<tfc:slab/bricks/basalt>","Basalt Brick Slab"
"<tfc:slab/bricks/chalk>","Chalk Brick Slab"
"<tfc:slab/bricks/chert>","Chert Brick Slab"
"<tfc:slab/bricks/claystone>","Claystone Brick Slab"
"<tfc:slab/bricks/conglomerate>","Conglomerate Brick Slab"
"<tfc:slab/bricks/dacite>","Dacite Brick Slab"
"<tfc:slab/bricks/diorite>","Diorite Brick Slab"
"<tfc:slab/bricks/dolomite>","Dolomite Brick Slab"
"<tfc:slab/bricks/gabbro>","Gabbro Brick Slab"
"<tfc:slab/bricks/gneiss>","Gneiss Brick Slab"
"<tfc:slab/bricks/granite>","Granite Brick Slab"
"<tfc:slab/bricks/limestone>","Limestone Brick Slab"
"<tfc:slab/bricks/marble>","Marble Brick Slab"
"<tfc:slab/bricks/phyllite>","Phyllite Brick Slab"
"<tfc:slab/bricks/quartzite>","Quartzite Brick Slab"
"<tfc:slab/bricks/rhyolite>","Rhyolite Brick Slab"
"<tfc:slab/bricks/rocksalt>","Rocksalt Brick Slab"
"<tfc:slab/bricks/schist>","Schist Brick Slab"
"<tfc:slab/bricks/shale>","Shale Brick Slab"
"<tfc:slab/bricks/slate>","Slate Brick Slab"
"<tfc:slab/cobble/andesite>","Andesite Cobble Slab"
"<tfc:slab/cobble/basalt>","Basalt Cobble Slab"
"<tfc:slab/cobble/chalk>","Chalk Cobble Slab"
"<tfc:slab/cobble/chert>","Chert Cobble Slab"
"<tfc:slab/cobble/claystone>","Claystone Cobble Slab"
"<tfc:slab/cobble/conglomerate>","Conglomerate Cobble Slab"
"<tfc:slab/cobble/dacite>","Dacite Cobble Slab"
"<tfc:slab/cobble/diorite>","Diorite Cobble Slab"
"<tfc:slab/cobble/dolomite>","Dolomite Cobble Slab"
"<tfc:slab/cobble/gabbro>","Gabbro Cobble Slab"
"<tfc:slab/cobble/gneiss>","Gneiss Cobble Slab"
"<tfc:slab/cobble/granite>","Granite Cobble Slab"
"<tfc:slab/cobble/limestone>","Limestone Cobble Slab"
"<tfc:slab/cobble/marble>","Marble Cobble Slab"
"<tfc:slab/cobble/phyllite>","Phyllite Cobble Slab"
"<tfc:slab/cobble/quartzite>","Quartzite Cobble Slab"
"<tfc:slab/cobble/rhyolite>","Rhyolite Cobble Slab"
"<tfc:slab/cobble/rocksalt>","Rocksalt Cobble Slab"
"<tfc:slab/cobble/schist>","Schist Cobble Slab"
"<tfc:slab/cobble/shale>","Shale Cobble Slab"
"<tfc:slab/cobble/slate>","Slate Cobble Slab"
"<tfc:slab/smooth/andesite>","Smooth Andesite Slab"
"<tfc:slab/smooth/basalt>","Smooth Basalt Slab"
"<tfc:slab/smooth/chalk>","Smooth Chalk Slab"
"<tfc:slab/smooth/chert>","Smooth Chert Slab"
"<tfc:slab/smooth/claystone>","Smooth Claystone Slab"
"<tfc:slab/smooth/conglomerate>","Smooth Conglomerate Slab"
"<tfc:slab/smooth/dacite>","Smooth Dacite Slab"
"<tfc:slab/smooth/diorite>","Smooth Diorite Slab"
"<tfc:slab/smooth/dolomite>","Smooth Dolomite Slab"
"<tfc:slab/smooth/gabbro>","Smooth Gabbro Slab"
"<tfc:slab/smooth/gneiss>","Smooth Gneiss Slab"
"<tfc:slab/smooth/granite>","Smooth Granite Slab"
"<tfc:slab/smooth/limestone>","Smooth Limestone Slab"
"<tfc:slab/smooth/marble>","Smooth Marble Slab"
"<tfc:slab/smooth/phyllite>","Smooth Phyllite Slab"
"<tfc:slab/smooth/quartzite>","Smooth Quartzite Slab"
"<tfc:slab/smooth/rhyolite>","Smooth Rhyolite Slab"
"<tfc:slab/smooth/rocksalt>","Smooth Rocksalt Slab"
"<tfc:slab/smooth/schist>","Smooth Schist Slab"
"<tfc:slab/smooth/shale>","Smooth Shale Slab"
"<tfc:slab/smooth/slate>","Smooth Slate Slab"
"<tfc:slab/wood/acacia>","Acacia Slab"
"<tfc:slab/wood/ash>","Ash Slab"
"<tfc:slab/wood/aspen>","Aspen Slab"
"<tfc:slab/wood/birch>","Birch Slab"
"<tfc:slab/wood/blackwood>","Blackwood Slab"
"<tfc:slab/wood/chestnut>","Chestnut Slab"
"<tfc:slab/wood/douglas_fir>","Douglas Fir Slab"
"<tfc:slab/wood/hevea>","Hevea Slab"
"<tfc:slab/wood/hickory>","Hickory Slab"
"<tfc:slab/wood/kapok>","Kapok Slab"
"<tfc:slab/wood/maple>","Maple Slab"
"<tfc:slab/wood/oak>","Oak Slab"
"<tfc:slab/wood/palm>","Palm Slab"
"<tfc:slab/wood/pine>","Pine Slab"
"<tfc:slab/wood/rosewood>","Rosewood Slab"
"<tfc:slab/wood/sequoia>","Sequoia Slab"
"<tfc:slab/wood/spruce>","Spruce Slab"
"<tfc:slab/wood/sycamore>","Sycamore Slab"
"<tfc:slab/wood/white_cedar>","White Cedar Slab"
"<tfc:slab/wood/willow>","Willow Slab"

"<tfc:stone/pressure_plate/andesite>","Andesite Pressure Plate"
"<tfc:stone/pressure_plate/basalt>","Basalt Pressure Plate"
"<tfc:stone/pressure_plate/chalk>","Chalk Pressure Plate"
"<tfc:stone/pressure_plate/chert>","Chert Pressure Plate"
"<tfc:stone/pressure_plate/claystone>","Claystone Pressure Plate"
"<tfc:stone/pressure_plate/conglomerate>","Conglomerate Pressure Plate"
"<tfc:stone/pressure_plate/dacite>","Dacite Pressure Plate"
"<tfc:stone/pressure_plate/diorite>","Diorite Pressure Plate"
"<tfc:stone/pressure_plate/dolomite>","Dolomite Pressure Plate"
"<tfc:stone/pressure_plate/gabbro>","Gabbro Pressure Plate"
"<tfc:stone/pressure_plate/gneiss>","Gneiss Pressure Plate"
"<tfc:stone/pressure_plate/granite>","Granite Pressure Plate"
"<tfc:stone/pressure_plate/limestone>","Limestone Pressure Plate"
"<tfc:stone/pressure_plate/marble>","Marble Pressure Plate"
"<tfc:stone/pressure_plate/phyllite>","Phyllite Pressure Plate"
"<tfc:stone/pressure_plate/quartzite>","Quartzite Pressure Plate"
"<tfc:stone/pressure_plate/rhyolite>","Rhyolite Pressure Plate"
"<tfc:stone/pressure_plate/rocksalt>","Rocksalt Pressure Plate"
"<tfc:stone/pressure_plate/schist>","Schist Pressure Plate"
"<tfc:stone/pressure_plate/shale>","Shale Pressure Plate"
"<tfc:stone/pressure_plate/slate>","Slate Pressure Plate"

"<tfc:wall/bricks/andesite>","Andesite Brick Wall"
"<tfc:wall/bricks/basalt>","Basalt Brick Wall"
"<tfc:wall/bricks/chalk>","Chalk Brick Wall"
"<tfc:wall/bricks/chert>","Chert Brick Wall"
"<tfc:wall/bricks/claystone>","Claystone Brick Wall"
"<tfc:wall/bricks/conglomerate>","Conglomerate Brick Wall"
"<tfc:wall/bricks/dacite>","Dacite Brick Wall"
"<tfc:wall/bricks/diorite>","Diorite Brick Wall"
"<tfc:wall/bricks/dolomite>","Dolomite Brick Wall"
"<tfc:wall/bricks/gabbro>","Gabbro Brick Wall"
"<tfc:wall/bricks/gneiss>","Gneiss Brick Wall"
"<tfc:wall/bricks/granite>","Granite Brick Wall"
"<tfc:wall/bricks/limestone>","Limestone Brick Wall"
"<tfc:wall/bricks/marble>","Marble Brick Wall"
"<tfc:wall/bricks/phyllite>","Phyllite Brick Wall"
"<tfc:wall/bricks/quartzite>","Quartzite Brick Wall"
"<tfc:wall/bricks/rhyolite>","Rhyolite Brick Wall"
"<tfc:wall/bricks/rocksalt>","Rocksalt Brick Wall"
"<tfc:wall/bricks/schist>","Schist Brick Wall"
"<tfc:wall/bricks/shale>","Shale Brick Wall"
"<tfc:wall/bricks/slate>","Slate Brick Wall"
"<tfc:wall/cobble/andesite>","Andesite Cobble Wall"
"<tfc:wall/cobble/basalt>","Basalt Cobble Wall"
"<tfc:wall/cobble/chalk>","Chalk Cobble Wall"
"<tfc:wall/cobble/chert>","Chert Cobble Wall"
"<tfc:wall/cobble/claystone>","Claystone Cobble Wall"
"<tfc:wall/cobble/conglomerate>","Conglomerate Cobble Wall"
"<tfc:wall/cobble/dacite>","Dacite Cobble Wall"
"<tfc:wall/cobble/diorite>","Diorite Cobble Wall"
"<tfc:wall/cobble/dolomite>","Dolomite Cobble Wall"
"<tfc:wall/cobble/gabbro>","Gabbro Cobble Wall"
"<tfc:wall/cobble/gneiss>","Gneiss Cobble Wall"
"<tfc:wall/cobble/granite>","Granite Cobble Wall"
"<tfc:wall/cobble/limestone>","Limestone Cobble Wall"
"<tfc:wall/cobble/marble>","Marble Cobble Wall"
"<tfc:wall/cobble/phyllite>","Phyllite Cobble Wall"
"<tfc:wall/cobble/quartzite>","Quartzite Cobble Wall"
"<tfc:wall/cobble/rhyolite>","Rhyolite Cobble Wall"
"<tfc:wall/cobble/rocksalt>","Rocksalt Cobble Wall"
"<tfc:wall/cobble/schist>","Schist Cobble Wall"
"<tfc:wall/cobble/shale>","Shale Cobble Wall"
"<tfc:wall/cobble/slate>","Slate Cobble Wall"
"<tfc:wall/smooth/andesite>","Andesite Smooth Wall"
"<tfc:wall/smooth/basalt>","Basalt Smooth Wall"
"<tfc:wall/smooth/chalk>","Chalk Smooth Wall"
"<tfc:wall/smooth/chert>","Chert Smooth Wall"
"<tfc:wall/smooth/claystone>","Claystone Smooth Wall"
"<tfc:wall/smooth/conglomerate>","Conglomerate Smooth Wall"
"<tfc:wall/smooth/dacite>","Dacite Smooth Wall"
"<tfc:wall/smooth/diorite>","Diorite Smooth Wall"
"<tfc:wall/smooth/dolomite>","Dolomite Smooth Wall"
"<tfc:wall/smooth/gabbro>","Gabbro Smooth Wall"
"<tfc:wall/smooth/gneiss>","Gneiss Smooth Wall"
"<tfc:wall/smooth/granite>","Granite Smooth Wall"
"<tfc:wall/smooth/limestone>","Limestone Smooth Wall"
"<tfc:wall/smooth/marble>","Marble Smooth Wall"
"<tfc:wall/smooth/phyllite>","Phyllite Smooth Wall"
"<tfc:wall/smooth/quartzite>","Quartzite Smooth Wall"
"<tfc:wall/smooth/rhyolite>","Rhyolite Smooth Wall"
"<tfc:wall/smooth/rocksalt>","Rocksalt Smooth Wall"
"<tfc:wall/smooth/schist>","Schist Smooth Wall"
"<tfc:wall/smooth/shale>","Shale Smooth Wall"
"<tfc:wall/smooth/slate>","Slate Smooth Wall"

"<tfc:wood/door/acacia>","Acacia Door"
"<tfc:wood/door/ash>","Ash Door"
"<tfc:wood/door/aspen>","Aspen Door"
"<tfc:wood/door/birch>","Birch Door"
"<tfc:wood/door/blackwood>","Blackwood Door"
"<tfc:wood/door/chestnut>","Chestnut Door"
"<tfc:wood/door/douglas_fir>","Douglas Fir Door"
"<tfc:wood/door/hevea>","Hevea Door"
"<tfc:wood/door/hickory>","Hickory Door"
"<tfc:wood/door/kapok>","Kapok Door"
"<tfc:wood/door/maple>","Maple Door"
"<tfc:wood/door/oak>","Oak Door"
"<tfc:wood/door/palm>","Palm Door"
"<tfc:wood/door/pine>","Pine Door"
"<tfc:wood/door/rosewood>","Rosewood Door"
"<tfc:wood/door/sequoia>","Sequoia Door"
"<tfc:wood/door/spruce>","Spruce Door"
"<tfc:wood/door/sycamore>","Sycamore Door"
"<tfc:wood/door/white_cedar>","White Cedar Door"
"<tfc:wood/door/willow>","Willow Door"

